municipio;cpr;unidade;status
Ibipitanga;CPR-MO;4ª CIPM/MACAÚBAS;MAPEADO
Ibiquera;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Ibirapitanga;CPR-S;61ª CIPM/UBAITABA;MAPEADO
Ibirapuã;CPR-ES;44ª CIPM/MEDEIROS NETO;MAPEADO
Ibirataia;CPR-MRC;55ª CIPM/IPIAÚ;MAPEADO
Ibitiara;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Ibititá;CPR-CN;7º BPM/IRECÊ;MAPEADO
Ibotirama;CPR-MO;28ª CIPM/IBOTIRAMA;MAPEADO
Ichu;CPR-NE;16º BPM/SERRINHA;MAPEADO
Igaporã;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Igrapiúna;CPR-R;31º BPM/VALENÇA;MAPEADO
Iguaí;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Ilhéus;CPR-S;68, 69 E 70ª CIPM/ILHÉUS;MULTIPLA
Inhambupe;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Ipecaetá;CPR-L;57ª CIPM/SANTO ESTEVÃO;MAPEADO
Ipiaú;CPR-MRC;55ª CIPM/IPIAÚ;MAPEADO
Ipirá;CPR-CH;98ª CIPM/IPIRÁ;MAPEADO
Ipupiara;CPR-CN;10ª CIPM/XIQUE-XIQUE;MAPEADO
Irajuba;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Iramaia;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Iraquara;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Irará;CPR-L;97ª CIPM/IRARÁ;MAPEADO
Irecê;CPR-CN;7º BPM/IRECÊ;MAPEADO
Itabela;CPR-ES;28º BPM/EUNÁPOLIS;MAPEADO
Itaberaba;CPR-CH;11º BPM/ITABERABA;MAPEADO
Itabuna;CPR-S;15º BPM/ITABUNA;MAPEADO
Itacaré;CPR-S;72ª CIPM/ITACARÉ;MAPEADO
Itaeté;CPR-CH;11º BPM/ITABERABA;MAPEADO
Itagi;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Itagibá;CPR-MRC;55ª CIPM/IPIAÚ;MAPEADO
Itagimirim;CPR-ES;28º BPM/EUNÁPOLIS;MAPEADO
Itaguaçu da Bahia;CPR-CN;10ª CIPM/XIQUE-XIQUE;MAPEADO
Itaju do Colônia;CPR-S;63ª CIPM/IBICARAÍ;MAPEADO
Itajuípe;CPR-S;15º BPM/ITABUNA;MAPEADO
Itamaraju;CPR-ES;43ª CIPM/ITAMARAJU;MAPEADO
Itamari;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Itambé;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Itanagra;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Itanhém;CPR-ES;44ª CIPM/MEDEIROS NETO;MAPEADO
Itaparica;CPR-R;23º BPM/VERA CRUZ;MAPEADO
Itapé;CPR-S;63ª CIPM/IBICARAÍ;MAPEADO
Itapebi;CPR-ES;28º BPM/EUNÁPOLIS;MAPEADO
Itapetinga;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Itapicuru;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Itapitanga;CPR-S;15º BPM/ITABUNA;MAPEADO
Itaquara;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Itarantim;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Itatim;CPR-CH;11º BPM/ITABERABA;MAPEADO
Itiruçu;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Itiúba;CPR-NE;7ª CIPM/MONTE SANTO;MAPEADO
Itororó;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Ituaçu;CPR-SO;24º BPM/BRUMADO;MAPEADO
Ituberá;CPR-R;31º BPM/VALENÇA;MAPEADO
Iuiu;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Jaborandi;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
Jacaraci;CPR-MO;94ª CIPM/CAETITÉ;MAPEADO
Jacobina;CPR-CH;29º BPM/JACOBINA;MAPEADO
Jaguaquara;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Jaguarari;CPR-N;6º BPM/SENHOR DO BONFIM;MAPEADO
Jaguaripe;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Jandaíra;CPR-LN;51ª CIPM/CONDE;MAPEADO
Jequié;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Jeremoabo;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Jiquiriçá;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
Jitaúna;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
João Dourado;CPR-CN;7º BPM/IRECÊ;MAPEADO
Juazeiro;CPR-N;73ª, 74ª, 75ª E 76ª CIPM/JUAZEIRO;MULTIPLA
Jucuruçu;CPR-ES;43ª CIPM/ITAMARAJU;MAPEADO
Jussara;CPR-CN;7º BPM/IRECÊ;MAPEADO
Jussari;CPR-S;62ª CIPM/CAMACAN;MAPEADO
Jussiape;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Lafaiete Coutinho;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Lagoa Real;CPR-MO;94ª CIPM/CAETITÉ;MAPEADO
Laje;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Lajedão;CPR-ES;44ª CIPM/MEDEIROS NETO;MAPEADO
Lajedinho;CPR-CH;11º BPM/ITABERABA;MAPEADO
Lajedo do Tabocal;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
Lamarão;CPR-NE;16º BPM/SERRINHA;MAPEADO
Lapão;CPR-CN;7º BPM/IRECÊ;MAPEADO
Lauro de Freitas;CPRMS;52ª CIPM/LAURO DE FREITAS | 81ª CIPM/ITINGA;MULTIPLA
Lençóis;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Licínio de Almeida;CPR-MO;94ª CIPM/CAETITÉ;MAPEADO
Livramento de Nossa Senhora;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Luís Eduardo Magalhães;CPR-O;27º BPM/LUÍS EDUARDO MAGALHÃES;MAPEADO
Macajuba;CPR-CH;11º BPM/ITABERABA;MAPEADO
Macarani;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Macaúbas;CPR-MO;4ª CIPM/MACAÚBAS;MAPEADO
Macururé;CPR-N;45ª CIPM/CURAÇA;MAPEADO
Madre de Deus;CPRMS;26º BPM/CANDEIAS;MAPEADO
Maetinga;CPR-SO;24º BPM/BRUMADO;MAPEADO
Maiquinique;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Mairi;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Malhada;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Malhada de Pedras;CPR-SO;24º BPM/BRUMADO;MAPEADO
Manoel Vitorino;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Mansidão;CPR-O;86ª CIPM/FORMOSA DO RIO PRETO;MAPEADO
Maracás;CPR-MRC;93ª CIPM/MARACÁS;MAPEADO
